Localidade;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Hidrolândia;5.873.130,54;6.669.693,52;7.389.890,90;8.481.510,07;11.221.143;13.328.410;14.257.405;23.997.179;39.138.238;25.651.011;50.617.440
Hidrolina;4.107.045,85;4.628.757,61;5.574.711,98;5.316.815,13;7.135.715;7.157.724;4.859.156;5.875.264;4.683.677;638.600;10.094.981
Iaciara;1.601.059,27;598.691,64;882.788,26;834.479,16;2.065.257;1.951.157;4.113.137;15.410.181;4.067.796;5.824.091;11.970.041
Inaciolândia;23.645.363,58;22.351.718,79;38.460.365,93;35.046.871,44;31.975.389;35.554.551;47.307.986;74.214.178;57.031.157;18.367.707;64.317.279
Indiara;19.470.670,71;18.697.309,61;20.404.034,40;31.843.919,66;38.490.688;85.028.661;84.486.574;98.174.298;128.872.726;64.662.448;124.887.481
Inhumas;11.781.731,85;13.551.572,27;4.804.644,19;14.841.931,99;9.209.479;14.362.843;7.933.991;11.504.822;7.209.653;4.656.650;17.835.993
Ipameri;175.974.267,92;111.825.824,41;130.796.815,00;166.173.351,64;170.236.379;166.166.892;224.254.914;335.355.979;372.123.080;142.179.886;440.699.919
Ipiranga de Goiás;15.800,00;158.161,05;85.500,00;198.630,00;133.667;87.125;165.000;90.130;110.792;102.000;588.773
Iporá;4.335.401,78;3.461.696,39;4.003.296,47;3.366.358,74;3.576.975;5.484.925;14.588.085;33.901.112;32.894.810;63.384.747;34.617.929
Israelândia;296.327,22;153.331,19;768.661,95;1.275.589,48;1.546.607;1.535.859;3.346.700;5.490.872;6.076.068;1.141.625;13.952.263
Itaberaí;38.579.899,68;32.659.065,03;26.457.712,75;31.329.224,60;56.453.744;66.462.351;101.146.734;181.800.370;172.596.803;144.338.530;218.988.992
Itaguari;1.091.107,44;789.542,96;3.378.528,77;3.513.943,18;4.357.314;4.925.855;10.831.516;16.586.435;12.696.649;2.123.900;5.880.118
Itaguaru;774.934,14;291.786,03;830.700,91;486.817,65;1.013.290;1.065.230;1.726.057;1.539.926;5.251.597;6.069.120;6.933.297
Itajá;415.145,93;538.282,65;30.400,00;4.200.000,00;4.400.000;862.829;392.300;11.291.708;11.163.102;21.980.727;22.899.269
Itapaci;731.220,00;315.744,37;958.600,00;799.992,00;7.190.375;4.017.652;1.437.834;4.894.743;2.827.548;5.027.500;8.725.331
Itapirapuã;962.556,60;487.617,50;466.110,50;244.638,00;8.300.249;3.784.692;288.231;3.607.385;2.623.255;7.975.099;14.408.436
Itapuranga;4.991.302,20;3.217.070,89;5.486.869,12;3.824.833,80;3.193.209;5.071.757;5.158.100;6.076.820;4.662.125;5.913.187;12.798.097
Itarumã;8.065.146,24;5.576.562,48;7.829.374,95;3.437.538,59;13.414.230;32.741.357;32.937.942;50.601.340;83.371.490;42.276.214;56.036.722
Itauçu;643.357,98;708.032,66;841.199,35;2.429.183,46;1.071.984;2.785.926;2.048.401;4.954.252;5.340.370;3.115.410;7.264.901
Itumbiara;74.036.682,15;85.799.624,20;81.099.925,08;148.560.399,22;173.573.806;116.328.474;237.625.952;279.849.393;176.554.463;142.642.693;435.507.605
Ivolândia;1.791.629,77;4.547.013,34;5.844.195,07;2.587.332,41;4.308.307;8.110.299;5.777.714;30.726.764;33.033.018;18.757.834;26.532.604
